Thai,English
หัก,to break;to fracture (usually indicates breaking into two or more pieces..but not a lot)
หาย,to disappear;to recover from illness
มะเร็ง,cancer
ยาแก้ปวด,pain killer
ยาแก้ไอ,cough syrup
ยาสมุนไพร,herbal medicine
วิตามิน,vitamin
ยาทา,lotion;ointment
ถอด,to remove (things that require pulling action like pants or long shoes)
สวดมนต์,to pray (accompanied with vocals)
เพลีย,to be exhausted
หนัก,hard
จุ,to contain;enough;sufficient
เดินเล่น,to go for a walk;to stroll
ดีใจ,to be glad
เศร้า,to be sad
เหงา,to feel lonely
หึง,to be jealous for love
โกรธ,to be angry
กลัว,to be scared
ตกใจ,to be shocked
แปลกใจ,to be surprised
มีความสุข,to be happy
สบายใจ,to feel good
อิจฉา,to be jealous
สับสน,to be confused
มั่นใจ,to be confident
ตื่นเต้น,to be excited
การศึกษา,education
ระดับ,level
อนุบาล,kindergarten
ประถมศึกษา,primary school
มัธยมศึกษา,secondary school
อุดมศึกษา,tertiary level (school)
นักศึกษาปี๑,first year university student;freshman
นักศึกษาปี๒,second year university student;sophomore
นักศึกษาปี๓,third year university student;junior
นักศึกษาปี๔,fourth year university student(senior)
เรียน,to study
ปริญญาตรี,Bachelor's degree
ปริญญาโท,Master's degree
ปริญญาเอก,Ph.D.
วิชา,subject (study)
วิชาเอก,major (subject)
วิชาโท,minor (subject)
วรรณคดี,literature
เอเชียศึกษา,Asian studies
เลือก,to choose
ชอบ,to like
สนใจ,to be interested in
ศาสนา,religion
ปรัชญา,philosophy
ประวัติศาสตร์,history
วิทยาศาสตร์,science
คณิตศาสตร์,mathematics
เศรษฐศาสตร์,economics
สังคมศาสตร์,social science
กฎหมาย,law
จิตวิทยา,psychology
บริหารธุรกิจ,business administration
ภาษาอังกฤษ,English language
ภาษาฝั่รงเศส,French language
ภาษาไทย,Thai language
ภาษาญี่ปุ่น,Japanese language
ภาษาจีน,Chinese language
ยาก,difficult
น่าสนใจ,interesting
มีประโยชน์,to be useful
เวลาว่าง,free time
ดนตรี,music
เล่นดนตรี,to play music
เปียาโน,Piano
ไวโอลิน,Violin
กิฬา,sports
เล่นกิฬา,to play sports
เทนนิส,Tennis
ฟุตบอล,Football
ว่ายน้ำ,to swim
แบดมินตัน,Badminton
ปิงปอง,Table Tennis
ตะกร้อ,Kick ball (a local Lao/Thai sport)
บาสเกตบอล,Basketball
ดูหนัง,to watch a movie
ฟังเพลง,to listen to music
ไปซื้อของ,to go shopping
อ่าน,to read
นิยาย,novel
การ์ตูน,cartoon
ดูทีวี,to watch TV
ไปเดินป่า,to go hiking
ปีนเขา,to climb a mountain
ขี่ช้าง,to ride an elephant
ล่องแพ,to go rafting
ออกอำลังกาย,to exercise
เต้นแอโรบิก,to do aerobics
อยู่บ้าน,to be at home
เสียงดัง,to be loud
เงียบ,to be quiet
เหนื่อย,to be tired
สนุก,to have fun
ชาติ,nation
พระมหากษัตริย์,The King
สำคัญ,to be important
สำหรับ,for
คนไทย,Thai people
ทุกคน,everyone
รัก,to love
เคารพ,to respect;to revere
ในหลวง,The King
พระเจ้าอยู่หัว,His Majesty
พระราชินื,The Queen
นับถือ,to respect (to follow a religion)
ศาสนาพุทธ,Buddhism
ศาสนาคริสต์,Christianity
ศาสนาอิสลาม,Islam
ศาสนาฮินดู,Hinduism
ส่วนใหญ่,most
ชาวพุทธ,Buddhist
ชาวคริสต์,Christian
ชาวมุสลิม,Muslim
ชาวยิว,Jewish
โบสถ์,church;ordination hall
มัสยิด,Mosque
วันพระ,Holy Day
ทุก,each
พระสงฆ์,Monk
เณร,Novice monk
สามเณร,Novice monk
ชี,nun
เจ้าอาวาส,abbot
บาทหลวง,priest
วิหาร,sanctuary
เจดีย์,pagoda;stupa;chedi
กุฎิ,monk's house
พระพุทธรูป,Buddha image
ทำบุญ,to make merit
ฟังเทศน์,to listen to a sermon
ทำสมาธิ,to practice meditation
ไหว้พระ,to worship Buddha's image
สนทนาธรรม,to do dhamma discussion
ละหมาด,to pray (Islamic prayer)
ควร,should
แต่งกาย,to dress
เรียบร้อย,neatly;politely
หมวก,hat
ก่อน,before
เข้า,to enter
เมื่อ,when
ปืน,to climb
นั่งบน,to sit on
ส่งเสืยงดัง,to make a loud noise
หมู่บ้าน,village
ทะเล,sea;ocean
ภูเขา,mountain
ไกล,far
กิโลเมตร,kilometer
จาก,from
ชาวบ้าน,villager
ผู้ใหญ่บ้าน,head of the village
ผู้ช่วยผู้ใหญ่บ้าน,assistant to the head of the village
ชาวเขา,hilltribe people
หมอ,doctor
พยาบาล,nurse
ครู,teacher
ตลาด,market
ร้านค้า,grocery store
อนามัย,health center
นา,rice field;paddy field
ไร่,plantation
สวนผัก,vegetable farm
สวนผลไม้,orchard
ทำนา,to cultivate rice
ทำสวน,to cultivate fruits and vegetables
ทำไร่,to cultivate crops
ทำประมง,to fish (farming)
ทำเครื่องจักสาน,to make basket with wicker
ทอผ้า,to weave clothes
ชาวไร่,farmer
ชาวสวน,gardner
ชาวประมง,fisherman
ไว้เล็บ,to keep long nails
ต่อเล็บ,to augment with artifical nails
ผมร่วง,hairfall
ปลูก,to plant;to cultivate;to grow plants
ข้าว,rice
ถั่ว,beans
ถั่วเหลือง,soybean
ถั่วลิสง,peanut
พริก,chilli
กาแฟ,coffee
ชา,tea
ยาสูบ,tobacco
เลี้ยง,to raise (humans or animals)
สัตว์,animal
หมู,pig
วัว,cow
ผึ้ง,bee
ไฟฟ้า,electricity
น้ำประปา,tap water
โทรศัพท์,telephone
โรงพยาบาล,hospital
ถนน,road
แต่,but
ไส้เดือนดิน,earthworm
พอ่เลี้ยง,step-father
วิทยุ,radio
ตะเกืยง,lamp
เทืยน,candle
น้ำฝน,rain water
บ่อน้ำ,well (water)
แม่น้ำ,river
หลาย,many
เผ่า,tribe
ม้ง,Hmong tribe (Southeast Asian Tribe)
กะเหรื่ยง,Karen tribe (Southeast Asian Tribe)
อาข่า,Akha tribe (Southeast Asian Tribe)
เย้า,Yao tribe (Southeast Asian Tribe)
ลาฮู,Lahu tribe (Southeast Asian Tribe)
ภาคเหนือ,Northern region
ภาคตะวันตก,Western region
ประเทศจีน,China
ประเทศพม่า,Myanmar
ประเทศทิเบต,Tibet
เมื่อก่อน,in the past
เดี๋ยวนี้,now;nowadays
ฝิ่น,opium
หา,to search for
ของป่า,forest products
ทำไร่เลื่อนลอย,to do slash-and-burn farming
ปักผ้า,to embroider
ขายของ,to sell things
เมือง,city
ผี,spirits
บางคน,some;someone
พูด,to speak
ภาษา,language
เทศกาล,festival
คือ,to be
สงกรานต์,Songkran (Thai New Year)
ลอยกระทง,Loy Kratong Thai Festival
วันสงกรานต์,Songkran Day (Thai New Year Day)
วันปีใหม่,New Year's Day
เดือนเมษายม,April
ปล่อยนก,to free/release the birds (Thai Tradition)
ปล่อยปลา,to free/release fish (Thai Tradition)
สรงน้ำพระ,to sprinkle water on Buddha image
รดน้ำผู้ใหญ่,to pay respect to the elderly
สาดน้ำ,to throw or splash water
เพื่อ,in order to;for
แสดง,to show
ความกตัญญู,gratitude
สิริมงคล,good luck
ความสนุก,fun
วันเพ็ญ,full-moon day
เดือนสิบสอง,twelfth lunar month
วันลอยกระทง,Loi Krathong Day (Thai Festival)
กระทง,A lotus shaped float floated on Loi Krathong Day
ลอย,to float
ประทีป,lighted candle
จุด,to light;a point
ประทัด,fire cracker
ดอกไม้ไฟ,fireworks
ปล่อย,to release
โคม,lantern
ขบวนแห่,procession;parade (the one which includes vehicles)
รำวง,to dance (a folk dance)
ใบตอง,banana leaf
โฟม,styrofoam
ขนมปัง,bread
ดอกไม้,flower
ธูป,joss stick
เทียน,candle
เงิน,money
หลัง,after
อธิษฐาน,to wish (like a prayer to get something)
คูเมือง,moat
ขอบคุณ,to thank
ขอโทษ,to apologise
ความสุข,happiness
เคราะห์,bad luck
ปัญหา,problem
สังคม,social;society
เช่น,such as;for example
ยาเสพติด,drugs (addictive)
โรคเอดส์,AIDS
โสเภณี,prostitution
คนจน,poor people
วัยรุ่น,teenagers
กัญชา,marijuana
ยาบ้า,amphetamine
เฮโรอีน,heroin
เหล้า,alcoholic drinks
บุหรี่,cigarette
ติด,to be addicted to
สูบ,to smoke
ขโมยของ,to steal
ขายตัว,to prostitute
เที่ยวผู้หญิง,to go to brothel
เป็นโรคเอดส์,to contract AIDS
ไม่มีงานทำ,to be unemployed
ไม่มีบ้าน,to become homeless
ตาย,to die
มากขึ้น,more
ช่วยกัน,to help one another
แก้ปัญหา,to solve a problem
รัฐบาล,government
สถานที่,place
ท่องเทื่ยว,to travel
สถานที่ท่องเที่ยว,tourist attractions
มากมาย,a lot of (different things)
น้ำตก,waterfall
ปราสาท,castle
กอย,mountain
ไปเที่ยว,to travel
ตั๋ว,ticket
ราคา,price
หรือ,or
จอง,to reserve
ออก,to depart
ถึง,to arrive
ช้า,slow;slowly
เร็ว,quick;quickly
ปลอดภัย,safe;safely
คนเดียว,alone
วัดพระแก้ว,The Temple of the Emerald Buddha (Thailand)
พระบรมมหาราชวัง,The Royal Palace (Thailand)
คิด,to think
ฤดู,seasons
ฤดูร้อน,summer season
ฤดูฝน,rainy season
ฤดูหนาว,winter season
ฤดูใบไม้ผลิ,spring season
ฤดูใบไม้ร่วง,fall season
หิมะ,snow
อากาศหนาว,cold weather
อากาศร้อน,hot weather
อากาศเย็น,chilly weather
แดด,sunshine
ชื้น,humid;moist
ฝน,rain
บางครั้ง,sometimes
พายุ,storm
น้ำค้างแข็ง,frost
ลูกเห็บ,hail
ลม,wind
แรง,strong
ไม่มั่นคง,insecure
พลิกตัว,to roll over the body
ลูบคลำ,to move hands over the body to feel;to fondle;to grope
อับชื้น,damp;danky;smell (like in a old hotel room)
สั่นไหว,to quiver;to tremble
เต้นรัว,to beat (in a fluttering manner)
คลำ,to feel (with hands)
คู้,to curl;to contort;to twist
ปรับ,to adjust;to finetune
แก่นกาย,body
ปวกเปียก,to be flimsy;to be weak or limp
กางเกง,trousers;pants
กานำ้,kettle
กล้าม,muscle
การบ้าน,homework
ขาดทุน,loss
ค่า,value
ฆ่า,to kill
ชาย,man
วาดรูป,to draw a picture
ได้กำไร,profit
หุ้น,shares (stocks)
ข่า,Galangal
คา,to be stuck in a gap or narrow space
ไต,kidney
กฎ,rule
ระบายสี,to fill colors in a drawing (like in a kid's drawing book)
กระดูก,bone
ป้าย,to smear with paint (like smear paint on the body)
ถ่าย,to shoot a picture
หน้าต่าง,window
ก้างปลา,fishbone
อ่างน้ำ,swimming pool
บ่ายโมง,afternoon
ข้างขวา,right side
ร้านขายยา,pharmacy
ถ่าน,charcoal;battery
ผ่าน,to pass
ข้ามสะพาน,to cross a bridge
ผ้าฝ้าย,cotton
นักข่าว,newsreporter
ช่างประปา,plumber
ข้างทาง,side of the road
หย่าร้าง,divorce
ล้างหน้า,to wash your face
ชีวิต,life
อีก,more
ความคิด,thought;idea
กินเลี้ยง,to take care of
ขนคิ้ว,eyebrow hairs
จิตใจ,mind
จิ้งจอก,fox
ซิ่ง,speeding;racing (like racing heart)
สิ้นใจ,to die
ผีดิบ,zombie
พี่ชาย,elder brother
คีบ,to grab with tongs;to eat with chopsticks
สีเข็ม,dark color
ซี่โครง,rib
ฮองกง,Hong Kong
มืดครึ้ม,overcast
ชื่นชม,to admire
ค้างคืน,overnight
ห้องโกรง,prison cell
อันอื่น,another
ชุดสูท,suit
มะกรูด,Kaffir lime
วันหยุด,day off
เข็มหมุด,pin
ขุดดิน,to dig
จุดตรวจ,checkpoint
ปวดหัว,to have a headache
ถูกใจ,to be pleased;to be content
ฟันหลุด,loose teeth
ฟันผู,decayed teeth
ปูน,mortar
กระเบื้อง,tile
เรียบ,smooth;flat
ขาด,to lack
ขาดใจ,to die
ขาดเรียน,to skip school
หมอดู,fortune teller;clairvoyant
หมอผี,shaman;exorcist
อาจารย์หมอ,professor
ช่าง,technician
ผลัก,to push
แฟ้ม,folder
สิว,acne;pimple
หมอย,pubic hairs
ขน,body hairs
อ้วก,to puke
ขัน,to sound (for animals);to crow;a bowl
นกเขาไม่ขัน,unable to get an erection
พื้น,floor
ดึง,to pull
พืช,plants
จึง,therefore;hence
หมื่น,ten thousand
คิดตื้นๆ,one who thinks shallow
ตื้น,shallow
หมึก,ink
ลึก,deep
ผ้าก๊อช,bandage;gauze
ตึก,building
ตื่น,wake up
ลื่น,to slip
หลื้น,to slip
ซึ่ง,which (conjunction)
นึ่ง,to steam
ยืม,to borrow
ลืม,to forget
ขึ้น,to climb
ผื่น,rash
ดื้อ,to be stubborn
ซื้อ,to buy
คืบ,one palm length
ดึก,late (time)
ฝึก,practice
อึ,shit
สืบ,to detect
นักสืบ,detective
ดู,to watch
อยู่,to live
ชู,to raise like to raise a fist
คุณ,you (formal second person pronoun)
สูง,to be high or tall
สู้,to fight
ถูก,cheap;to get touched physically by hand or other limbs
ตู้,cupboard
คู่,pair
เงย,to raise one's head
หลุด,to slip or reduce
หนู,mouse
หยุด,to stop
ซุป,soup
ตุ๋น,to steam
ปรุง,to sprinkle seasoning
สุก,ripe
สุข,to be happy
ศุกร์,Friday
สูตร,formula;recipe
ยุ่ง,to be busy
ผู้ชาย,man
รู้,to know
ชู้,adulterer
จูบ,kiss
ถุง,bag
ลุก,to get up
จุก,cork;stomach ache
จูง,to take by hand
ปลุก,to wake up;alarm
ลูก,child
บูด,to be rotten
ตูด,ass
มุม,corner
อุ่น,warm
ชุด,suit;set
คุก,prison
สยองขวัญ,horror
ระทึกขวัญ,thriller
ฆาตกรรม,murder
แปรง,to brush
สระ,to wash hair
ค่าง,a classifier for one of a pair
ดิบ,raw
หุง,to cook rice
เรียก,to call
เปียก,to be wet
เปลี่ยน,to change
เขียน,to write
เยี่ยม,to visit
เทียม,to be like;to be equal to;artificial;fake
เตรียม,to prepare
เสียง,to sound
เตียง,bed
เชือก,rope
เปลือก,shell or skin of a fruit or nut
เตือน,to remind
เหมือน,like (conjunction)
เชื่อม,to connect
เรื่อง,story;subject;a classifier for subject or a story
เปื้อน,to stain
เรื่อย,to do something often (adv)
ลวก,roughly;cursorily;carelessly
สะดวก,to be convenient;to be comfortable
ช่วง,duration;during
ทวง,to ask for return of the thing which was borrowed
รวย,to be rich
กล้วย,banana
สวย,beautiful
หลวม,loose;to be negligent
บวม,to be swollen
ไป,to go
ใคร,who
ไหม,silk
ใช่,yes
ไม้,wood
ไว้,to keep;to hold
ใหม่,new
ใกล้,near
อะไร,what
ทำไม,why
ผด,papule or pimple (not on face)
ผืน,sheet;plot;piece;a classifier for clothes and flat objects
แผล,rash
พันเชือก,to tie a rope
โต๊ะ,table
ตก,to fall
จน,until
ชน,to bump;to collide
บน,on
ชก,to punch
กด,to press
คน,person;to stir;to blend
วน,to go around in a loop
ต้น,stem;trunk
ค้น,to seek;to search
ชม,to watch (a view);to admire
โกน,to shave
โดน,it converts a sentence to passive voice
ปล้น,to threaten
โมง,hour
โพรง,cavity
ห่ม,to cover (like with a blanket)
จม,to sink
ชง,to make a drink by mixing something in water;to brew
ส่ง,to send
ลง,to descend
โหล,a dozen;a wide-mouthed glass jar
โชว์,show
โน,to swell out; to bulge out (after getting hit with something)
กิโล,kilo
โมโห,to be angry
โดนัท,donut
โดย,by
งง,to get confused
ผง,powder
ผลไม้,fruits
รถ,car
รด,to water the plants
รส,flavor;taste
ซด,to sip
หด,to shrink (like clothes after washing)
หมด,to be finished
สด,fresh
นม,milk
นิยม,popular
ตม,mud
ต้ม,to boil
เด็ก,child
เล็ก,small;little
ลูกเกด,raisin
พิเศษ,special
เจ็ด,seven
เต้น,dance
เอ็น,ligament
เป็น,to be;alive
เห็น,to seek;to search
เอง,oneself
กระสอบ,sack
เย็น,to be cool
เข็ด,to be afraid of the recurrence of a bad experience
เสร็จ,to finish
เห็ด,mushroom
เม็ด,seed;grain
แข็ง,to be hard;to be strong
อุ้ม,to carry in front (like a baby)
แบก,to carry on the back;to bear
แดง,red
แตก,to break into a few pieces
แปด,eight
แยก,to distribute
แรก,first
แขก,guest
แลก,to exchange
แบ่ง,to divide
แสด,orange color
แตง,melon
แม่,mother
แก้,to solve;to untie;to take-off (clothes)
จุ่ม,to dip
แช่,to soak
ไอ้ผี,naughty person
ทุบ,to pound;to smash
ค้อน,hammer
เคาะ,to knock
กอด,to hug
ลอง,to try;to taste
สวดมน,to pray
พร้อม,to be ready
ป้อน,to feed (by putting food in their mouth like feeding a baby)
ร้อน,to be hot
รอบ,round (like a round of play)
สอบ,to take a test
ตอบ,to reply
ถอนฟัน,to extract a tooth
เลอะเทอะ,to be messy;to be sloppy
เยอะ,many (countable)
เจอ,to meet
เธอ,you
เบอร์,number
เรอ,to belch or burp
ละเมอ,to sleeptalk
เดิน,to walk
เกิด,to happen;to originate
เปิด,to open
สว่าน,a drill
เคย,ever
ดาวเทียม,satellite
เคลือน,to move;to head to
เริ่ม,to start
เติม,to fill
เพิ่ม,to add (to increase)
เสริอม,to augment
เทอม,term
เกิน,to be over (over the limit)
เพิ่ง,just
เลย,at all
เลิก,to end
เขิน,to be shallow;to be shy
อาย,to be embarassed
เป่ายิ้งฉุบ,"the game of called rock, paper, scissors"
อ่อนประสบการณ์,to be inexperienced
มะเขือเปราะ,a small round eggplant
ไส้,filling;intestine
ถั่วงอก,bean sprout
สหาย,companion
เห็ดหอม,shiitake mushroom
เกี้ยมไฉ่,pickled vegetables
กระเพาะ,stomach
น้ำกะทิ,coconut milk
น้ำขิง,ginger water;ginger ale
พริกหยวก,sweet pepper;bell-pepper
ผักคะน้า,kale
หอยนางรม,oyster
หอยแครง,molluscs
หอยแมลงภู่,mussel
ใหญ่,big
แพง,to be expensive
ตื่นนอน,to wake up
เช้า,morning
ออกจาก,to leave
บ้าน,house
กลับ,to go back
ชั่วโมง,hour
พัก,to take a break
สีเขียว,green
สีม่วง,purple
สัปดาห์,week
ก๋วยเตี๋ยว,noodles
เปรี้ยว,sour
หนัง,movie
หวาน,sweet
ใส่,to put on
พอดี,just right
หล่อ,handsome
ส้มตำ,papaya salad
เผ็ด,spicy
ไปรษณีย์,post office
ลด,to reduce
สามสิบ,thirty
ขาวดำ,black and white
ผ่า,to split;to dissect
คาว,to be fishy (smell)
สีเทา,grey
เถ้า,ash
โรย,to sprinkle
เกา,to scratch
ควัน,smoke
คู่หมั้น,finance;finacee
หมาเห่า,a barking dog
หมากดิบ,raw betel nut
หมางเมิน,to be at odds with;to be estranged from
หม่ำ,to eat (for infants);to consume
หมี่กะทิ,coconut cream noodles
หัวหมุด,the head of a needle or pin
ร้องแหม,oh!;ah!
ผ้าหมาด,damp clothes
ดูหมิ่น,to insult;to look down upon
หมึกดำ,black ink
หมุนเวียน,to circulate
เหม็นเบื่อ,to be bored of repetition
เหมืองแร่,a mine
หมุบหมับ,to catch a lot of things like catching multiple balls at the same time
เหมาหมด,to buy all like rent an entire transport for yourself.
งอน,to be sulky;to be petulant;curly
ยิบ,dense;fine
มด,ant
หงอน,bird crest
ว่าน,hemps;orchids
มัด,to bind;to tie;a classifier for bunch
หนอน,worm
หลาม,bamboo dessert;a python;swollen;overflowing;overcrowded
ยุด,the state of impasse in a tug-of-war
หมัด,fist;punch
ล่าม,interpreter;to tie;to fasten
หลบ,to dodge;to hide;to sneak into
โถ,a big bowl
ไม้จิ้มฟัน,a toothpick
ป่น,to pound;to powder
กระซิบ,to whisper
จิ้ม,to stab or poke and pick up
ก้อนผสม,flavor brick
ตอกไข่,to break eggs
เนียน,smooth;to be delicate
กระชอนตาถี่,colander with fine holes
ตะแกรง,a grill
เครื่องเคียง,side-dish
ปฎิเสธ,to deny or reject
ราบรื่น,smooth
ดำเนิน,to conduct;to execute
ผลัด,alternate
มิตรภาพ,friendship
เห็นแก่ตัว,selfish
นิสัย,personality;character
บริการ,service
น้ำหนัก,weight
เหลือ,to remain
จำกัด,to limit
ซี้,to die;to close
ถ้วย,cup
ปวด,to be in pain
ขวด,bottle
นวด,massage
กดขี่,to oppress
สนธิสัญญา,treaty
คนสารเลว,a vile person
ปกป้อง,to protect
อาวุธ,weapon
ล่มสลาย,to collapse
ความล้มเหลว,failure
สังหาร,to kill;to execute
เนรเทศ,to exile;to banish;to deport
พลาด,to miss
ฝันเฟื่อง,to daydream of the impossible
ทรยศ,to betray
สาป,to curse
พิชิต,to conquer
เสวย,to eat with pleasure
ประลอง,to contest;to maneuver
ดาด,ordinary
บูชา,to worship
หวง,to be possessive
ขย้ำ,to maul
แม่บ้าน,maid
หน้าที่,duty
สามี,husband
โสด,single
นั่งเล่น,to sit and relax casually
ประชุม,meeting
สาย,to be late
รถติด,traffic jam
ดูแล,to look after
เผื่อ,just in case
อำนวยความสะดวกให้,to accomodate
รับมือ,to handle
สถาการ,situation
เร่ง,to accelerate;to hurry up
เผิ่ง,just (adverb)
จบ,to finish or complete (like finish graduation or project)
รายงาน,report
ทัน,on time
รับ,to receive
แถว,row
ลงทุน,to invest
เกินไป,to go beyond
แน่,to be sure
งัด,to pry open
พุ่งใส่,to charge in
สลบ,to faint
เผ้า,to guard;to watch over;to water
ศพ,dead body
หลอก,to scare;to trick
สพรวจ,to inspect;to explore
ทะลุ,to penetrate;to puncture;to bore through
วิญญาณอาฆาต,vengeful spirit
ข้างเครียด,to be stressed
ขายส่ง,wholesale
ขายปลีก,retail
ผ่อน,to pay installments
โรคกระเพาะ,gastritis
ย่อย,to digest
โรค,disease
ธุรกิจ,business
เสื้อผ้า,clothes
กำไร,profit
สำเรจรูป,readymade
เทพเจ้า,god
องค์,a classifier for god/monks
สติปัญญา,intelligence
เฉลียวฉลาด,to be clever
ผู้อุปถัมภ์,supporter;patron
ศิลปวิทยาการ,liberal arts
แขนง,branch;field
บรมมครู,a great teacher
คติ,motto
ประทานพร,to bless
ก้าวหน้า,to progress
รำ่รวย,wealthy
โชคลาภ,fortune
ของไหว้,things to use as offerings
ธูปกำยาน,frankincense
น้ำอ้อย,molasses
เจ้าหน้าที่,officer
ล่วงเวลา,overtime
อุทาน,to exclaim
ตรงเวลา,on time
ศูนย์,hall
แห่ง,a classifer for places
นึกได้,to realize
มัก,to like
การค้า,trading
พิถีพิถัน,to be careful or meticulous
ขั้นตอน,stage or step in a process
ระเหย,to evaporate
ระเหิด,to sublimate
กรรมวิธี,process (related to living beings)
อัตรา,rate;rank
สลาย,to disintegrate;to crumble
ซึมซาบ,to permeate;to get infused
เศด,fraction;remainder
๑เศด๒ส่วน,1 over 2
เขวี้ยง,to throw
ฟัน,to cut with an axe or a sword
โบน,to throw something like a projectile
ทุ่ม,to throw something with two hands like a basketball or coconut
คว้าน,to stab and make a hole
หั่น,to dice
ซอย,to slice
ไม่เท่าไร,not much
เอียง,to incline
งอ,to bend;to be sulky
ผิวพรรณ,skin
ผ่องใส,to be cheerful or bright
คม,sharp
ผูก,to tie
คอปก,collar
ลีบ,lean or stunted;atrophied
รัด,to bind or coil around
ชะล่าใจ,to be complacent
งีบหลับ,to steal a nap
สม่ำเสมอ,regularly
การรบ,battle
มโน้,to imagine
แนวโน้ม,tendency
ออม,to save or conserve
บัญชีออม,savings account
ฉุกเฉิน,emergency
ขยับ,to move (small movement)
ข้าวยากหมากแพง,famine
บ้านการ,household
ยามหน้าแล้ง,drought
ความโน้มถ่วง,gravitation
พนักงาน,employee
ความสะอาด,cleanliness
ห้องอาหาร,dining room
ไปรับ,to pick up
ข้อดี,pros
ตำแหน่ง,position
ขี้ลืม,forgetful
บริษัท,business
ห้องน้ำ,bathroom
เจ้านาย,proprietor
ข้อเสีย,cons
สนามบิน,airport
เด็ดขาด,absolutely
บกพร่อง,defectively
แหลมคม,to sharpen
ลูกค้า,customer
บรรยากาศ,atmosphere
เป็นกันเอง,to be friendly
เอาใจใส่,to be caring and attentive
เทศนา,to preach or reprimand
เคร่ง,to be strict
ตั้งกรรภ์,to become pregnant
ติดลบ,to make negative
มันไม่น่าจะเป็นไปได้,it's unlikely
ท้องเสีย,diarrhea
น่าสงสาร,to be pitiful
โรคภัยไข้เจ็บ,disease
โรคท้องมาน,dropsy
วัณโรค,tuberculosis
เบิกโพลง,to open widely
ครีบ,fin
ลักษณะ,shape;appearance
ไต่ขึ้น,to climb
ริมฝั่ง,bank (of a water body)
อยู่บนบก,over land
ขยอก,to swallow without chewing (like for a fish)
น่าทน,to be unbearable
ลืมตา,to open eyes
ข้างนอก,outside
ช้ายมือ,left hand side
สถานีรถไฟ,train station
สาธารณะ,public
ข้างใน,inside
จอด,to stop or park
สี่แยก,intersection
ไปส่ง,to send
ขวามือ,right hand side
ทอนเงิน,to change money
ป้ายรถเมล์,bus stop
สถานทูต,embassy
เอกชน,private
รัฐวิสาหกิจ,state enterprise
วิ่งไล่,to chase
วิ่งหนี,to escape
ยากจน,poor
โดนดี,to have bad experiences with stuff like ghosts or gangs
เวรดึก,nightshift
จู่ๆ,suddenly
เงยหน้าขึ้น,to raise the head
ก้มหน้า,to lower the head
ซู่,to rise high
แม้แต่น้อย,not even a little
นักมวย,boxer
ปรึกษา,to consult
เศษอาหาร,scrap food
จักรยานยนต์,motorcycle
ทะเลาะ,to argue
ตำรวจ,policeman
อุตส่าห์,to endeavor
ค้นคว้า,to research
น้ำค้าง,dew
อุตุนิยม,meteor
แข็งแรง,to be healthy
บริจาค,to donate
ตลาดนัด,temporary market
กะพริบ,to blink eyes
นกหัวขวาน,woodpecker
นกกางเขน,magpie
นกกินปลี,sunbird
ทุ่งหญ้า,grassland
ป้องกัน,to protect against
อุตุนิยมวิทยา,meteorology
เหงื่อไหล,to sweat
ใบบัว,lotus leaf
ไอจาม,to sneeze
เทียนไข,candle
ผ้าไหม,silk cloth
ชัยชนะ,to win
ไพเราะ,melody
วินัย,discipline
อาศัย,to live
เรือใบ,sailboat
มาลัย,garland
ไฟใหม้,fire (like a burning house)
ใฝ่รู้,to seek knowledge
แง้ม,ajar;slightly open
หลับใน,drowsy
หลับนอน,to have sex
ลักหลับ,to rape a sleeping person
ฮักเมา,not sure if in love
โด่,to be erect
ตาแข็ง,to be sleepless
ปากแข็ง,unable to express feelings
ใจแข็ง,callous
ขาแข็ง,stiff legs
คอแข็ง,arrogant
ไม่ดี,not good
เบ้อเริ่ม,mammoth (big)
เบ้อเร่อ,mammoth (big)
ใหญ่กว่า,bigger
ดำปี๋,dark black
ฟ้า,sky blue
น้ำเงิน,navy blue
กล้าหาญ,brave
วุ่นวาย,chaotic (a noisy or crowded setting)
คลุมโปง,to get in the blanket completely with face covered
สโพก,hips
ก้น,ass
ดึงดูดใจ,attractive
เปราะ (จิตใจเปราะบาง),brittle
ร้าว (จอร้าว),to crack
รก (ห้องรก),cluttered
เรียบรอย,organized
สีสน หลากสี,colorful
หลากหลาย,with a lot of variety
กล้า,to dare
มืด,dark black
สว่าง,bright
หน้ามืด,to faint
โพล่ง,to blurt out
ทันใจ,to be quick
ทันที,immediately
รับสมัคร,to apply
สมัครใจ,to agree (without having a choice)
ใบสมัคร,applications
เหมื่อน,same
คล้าย,similar
มาไว มาก่อน,early
สาย ช้า,late
เร็ว ไว,fast
ปากไว,to talk without thinking
มือไว,thievish
ใจเร็ว,a girl who is easy to pick up
อวบ,chubby
ลงพุง,paunchy
คะนอง,fiery (temper)
ล้น,to be full upto the brim
สุดท้อง,youngest child
กิ๊ก,secret girlfriend or boyfriend
สุขสันต์วันเกิด,happy birthday
สงบ,peaceful
โกรธ โมโห,to be angry
มาก,a lot
หลากสี หลายสี,multi-colored
แคบ,narrow
ใจแคบ,smug
ความคิดคับแคบ,narrow-minded
เก่า,old (for things)
แก่,old (for people)
หนุ่ม,young (people)
สีส้ม สีแสด,orange color
สีชมพู,pink color
เสียใจ,sad
เตี้ย,short
ฉลาด,clever
ยอดเยี่ยม,excellent;splendid
ตรง,straight
หยิก,to curl around
สวดทรง,shape (of a girl)
มวน,to roll
